solar,demand,wind_big,wind_small,ecar,heatpump
0.0,-2815.58,748.9661518987632,5.874934495489499,0.0,-2815.58
0.0,-2947.97,748.9661518987632,5.874934495489499,0.0,-2947.97
0.0,-2799.67,748.9661518987632,5.874934495489499,0.0,-2799.67
0.0,-2666.24,433.3581471729667,4.691370585797426,0.0,-2666.24
0.0,-2254.66,748.9661518987632,5.874934495489499,0.0,-2254.66
0.0,-2260.61,748.9661518987632,5.874934495489499,0.0,-2260.61
0.0,-2488.67,748.9661518987632,5.874934495489499,0.0,-2488.67
0.0,-2945.9800000000005,183.3870138303464,3.565397576789404,0.0,-2945.9800000000005
0.0050787,-3086.4100000000003,183.3870138303464,3.565397576789404,0.0,-3086.4100000000003
0.02116125,-3070.5599999999995,10.393633124955159,1.9130854775184907,1205.4794520548558,-3070.5599999999995
0.0406296,-2931.6899999999996,183.3870138303464,3.565397576789404,1205.4794520548558,-2931.6899999999996
0.04824765000000001,-2830.5199999999995,433.3581471729667,4.691370585797426,1205.4794520548558,-2830.5199999999995
0.0524799,-2868.22,433.3581471729667,4.691370585797426,1205.4794520548558,-2868.22
0.04147605,-2896.71,433.3581471729667,4.691370585797426,1205.4794520548558,-2896.71
0.018621900000000004,-3174.8399999999997,183.3870138303464,3.565397576789404,1205.4794520548558,-3174.8399999999997
0.00084645,-3306.23,183.3870138303464,3.565397576789404,1205.4794520548558,-3306.23
0.0,-3326.79,183.3870138303464,3.565397576789404,602.7397260274279,-3326.79
0.0,-3887.0200000000004,183.3870138303464,3.565397576789404,3013.698630137139,-3887.0200000000004
0.0,-4364.0199999999995,183.3870138303464,3.565397576789404,9041.095890411418,-4364.0199999999995
0.0,-4117.87,183.3870138303464,3.565397576789404,12054.794520548556,-4117.87
0.0,-3814.43,10.393633124955159,1.9130854775184907,12054.794520548556,-3814.43
0.0,-3835.3300000000004,183.3870138303464,3.565397576789404,9041.095890411418,-3835.3300000000004
0.0,-3426.14,183.3870138303464,3.565397576789404,6027.397260274278,-3426.14
0.0,-2976.3399999999997,10.393633124955159,1.9130854775184907,3013.698630137139,-2976.3399999999997
0.0,-2331.0099999999998,10.393633124955159,1.9130854775184907,0.0,-2331.0099999999998
0.0,-2240.09,183.3870138303464,3.565397576789404,0.0,-2240.09
0.0,-2230.88,10.393633124955159,1.9130854775184907,0.0,-2230.88
0.0,-2442.33,10.393633124955159,1.9130854775184907,0.0,-2442.33
0.0,-2429.04,10.393633124955159,1.9130854775184907,0.0,-2429.04
0.0,-2523.2599999999998,10.393633124955159,1.9130854775184907,0.0,-2523.2599999999998
0.0,-2706.5699999999997,10.393633124955159,1.9130854775184907,0.0,-2706.5699999999997
0.00084645,-3022.99,10.393633124955159,1.9130854775184907,0.0,-3022.99
0.018621900000000004,-3502.7399999999993,10.393633124955159,1.9130854775184907,0.0,-3502.7399999999993
0.0253935,-3811.8899999999994,183.3870138303464,3.565397576789404,1205.4794520548558,-3811.8899999999994
0.0524799,-3923.1699999999996,183.3870138303464,3.565397576789404,1205.4794520548558,-3923.1699999999996
0.057558599999999994,-3883.54,183.3870138303464,3.565397576789404,1205.4794520548558,-3883.54
0.05840505,-3419.57,433.3581471729667,4.691370585797426,1205.4794520548558,-3419.57
0.043168950000000005,-3369.5699999999997,433.3581471729667,4.691370585797426,1205.4794520548558,-3369.5699999999997
0.018621900000000004,-3308.52,433.3581471729667,4.691370585797426,1205.4794520548558,-3308.52
0.00084645,-3304.6400000000003,183.3870138303464,3.565397576789404,1205.4794520548558,-3304.6400000000003
0.0,-3822.24,10.393633124955159,1.9130854775184907,602.7397260274279,-3822.24
0.0,-4611.21,10.393633124955159,1.9130854775184907,3013.698630137139,-4611.21
0.0,-4689.59,183.3870138303464,3.565397576789404,9041.095890411418,-4689.59
0.0,-4212.43,183.3870138303464,3.565397576789404,12054.794520548556,-4212.43
0.0,-3753.5699999999997,10.393633124955159,1.9130854775184907,12054.794520548556,-3753.5699999999997
0.0,-3489.31,10.393633124955159,1.9130854775184907,9041.095890411418,-3489.31
0.0,-3285.9100000000003,10.393633124955159,1.9130854775184907,6027.397260274278,-3285.9100000000003
0.0,-2836.7700000000004,10.393633124955159,1.9130854775184907,3013.698630137139,-2836.7700000000004
0.0,-2591.2799999999997,10.393633124955159,1.9130854775184907,0.0,-2591.2799999999997
0.0,-2037.98,10.393633124955159,1.9130854775184907,0.0,-2037.98
0.0,-1751.1100000000001,10.393633124955159,1.9130854775184907,0.0,-1751.1100000000001
0.0,-1709.52,10.393633124955159,1.9130854775184907,0.0,-1709.52
0.0,-1962.2500000000002,10.393633124955159,1.9130854775184907,0.0,-1962.2500000000002
0.0,-2028.9100000000003,10.393633124955159,1.9130854775184907,0.0,-2028.9100000000003
0.0,-2501.7599999999998,10.393633124955159,1.9130854775184907,0.0,-2501.7599999999998
0.0,-2605.07,10.393633124955159,1.9130854775184907,0.0,-2605.07
0.022007700000000005,-2928.29,0.0,0.0,0.0,-2928.29
0.056712149999999996,-3234.36,0.0,0.0,1205.4794520548558,-3234.36
0.067716,-3649.72,0.0,0.0,1205.4794520548558,-3649.72
0.04655475,-3532.8100000000004,10.393633124955159,1.9130854775184907,1205.4794520548558,-3532.8100000000004
0.0253935,-3426.9100000000008,10.393633124955159,1.9130854775184907,1205.4794520548558,-3426.9100000000008
0.014389649999999999,-3224.9700000000003,0.0,0.0,1205.4794520548558,-3224.9700000000003
0.0059251500000000006,-3325.7400000000002,0.0,0.0,1205.4794520548558,-3325.7400000000002
